Lemma	Count in book	Count in Hebrew Bible	Gloss
קוּר	1	2	bore|dig
נָצָה	1	3	fall in ruins
קָצֵר	1	5	short
יָרָק	1	5	herbs|herbage
חַח	1	8	hook|ring|fetter
מֶ֫תֶג	1	4	bridle
סָפִיחַ	1	4	growth from spilled kernels
סָחִישׁ	1	2	
מַ֫טָּה	1	19	downwards
סֹלְלָה	1	11	mound
מַחֲנֶה	1	216	encampment|camp
שְׁמֹנִים	1	38	an eighty
נִינְוֵה	1	17	Nineveh
נִסְרֹךְ	1	2	
אַדְרַמֶּ֫לֶךְ	1	3	Adar is prince|Adar-malik
שַׁרְאֶ֫צֶר	1	3	
אֲרָרַט	1	4	Ararat
??	1	3	??
אֵסַרְחַדֹּן	1	3	Esarhaddon
אָֽנָּ֫א	1	13	ah|now!|I|we|beseech thee!
שָׁלֵם	1	28	complete|safe|at peace
אֲחֹרַנִית	1	7	backwards
מִכְתָּב	1	9	writing
חֶ֫דֶל	1	1	cessation
קָפַד	1	1	gather together|roll up
דַּלָּה	1	2	hair|thrum
שָׁוָה	1	7	set|place
אֲרִי	1	35	lion
